tag,inital
407EDTIMER,0.0
403ARSTIMER,0.0
403GLTIMER,0.0
403GL0EV703,1
403ARS0EV016,1
403GL0EV705,1
403GL0EV704,1
403GL0EV702,1
0PIC085OP,36.2769
0PIC085PV,68.9873
0PIC085SP,68.9873
0PIC085TV,0.0
0PIC085CAS,0.0
0PIC085KC,2
0PIC085TI,0.5
0PIC085OPM,36.2783
0PIC085OPL,0.0
0PIC085OPH,100.0
403GLP003AB,1
403GLP002AB,1
403GLP001AB,1
403GLP005,1
403GL0PDI701,0.0040476
403GL0PDI072,0
403GL0LIC702OP,48.1315
403GL0LIC702PV,42.306
403GL0LIC702SP,42.306
403GL0LIC702TV,0.0
403GL0LIC702CAS,0.0
403GL0LIC702KC,3
403GL0LIC702TI,20.0
403GL0LIC702OPM,48.1315
403GL0LIC702OPL,0
403GL0LIC702OPH,500
403GL0LI713,0
403GL0LI717,10
403GL0PI728,2
403GL0LI716,10
403GL0LI715,10
403GL0TI711,101.529
403GL0TI720,45.6789
403GL0TI710,52.8794
0PIC710OP,38.2769
0PIC710PV,70.9873
0PIC710SP,68.9873
0PIC710TV,0.0
0PIC710CAS,0.0
0PIC710KC,2
0PIC710TI,0.5
0PIC710OPM,36.2783
0PIC710OPL,0.0
0PIC710OPH,100.0
403GL0LIC705OP,7.06829
403GL0LIC705PV,45.8315
403GL0LIC705SP,45.8315
403GL0LIC705TV,0.0
403GL0LIC705CAS,0.0
403GL0LIC705KC,3
403GL0LIC705TI,40
403GL0LIC705OPM,7.06829
403GL0LIC705OPL,0.0
403GL0LIC705OPH,100.0
403GL0TIC707OP,13.2702
403GL0TIC707PV,204.2
403GL0TIC707SP,204.2
403GL0TIC707TV,0.0
403GL0TIC707CAS,0.0
403GL0TIC707KC,3
403GL0TIC707TI,1.5
403GL0TIC707OPM,13.2702
403GL0TIC707OPL,0.0
403GL0TIC707OPH,100.0
403ARS0EV018,1
403GL0EV017,1
403GL0EV034,1
403GL0LI016,2
403GL0TIC001OP,21.7588
403GL0TIC001PV,40
403GL0TIC001SP,40
403GL0TIC001TV,0.0
403GL0TIC001CAS,0.0
403GL0TIC001KC,2
403GL0TIC001TI,1.5
403GL0TIC001OPM,21.7588
403GL0TIC001OPL,0.0
403GL0TIC001OPH,100.0
0PIC706OP,38.2769
0PIC706PV,70.9873
0PIC706SP,68.9873
0PIC706TV,0.0
0PIC706CAS,0.0
0PIC706KC,2
0PIC706TI,0.5
0PIC706OPM,36.2783
0PIC706OPL,0.0
0PIC706OPH,100.0
403GL0LIC708OP,51.0749
403GL0LIC708PV,45
403GL0LIC708SP,45
403GL0LIC708TV,0.0
403GL0LIC708CAS,0.0
403GL0LIC708KC,3
403GL0LIC708TI,20
403GL0LIC708OPM,51.0749
403GL0LIC708OPL,0.0
403GL0LIC708OPH,100.0
403GL0BV701,2
0BPZIC016,2
403GL0BP018,2
403GL0EV018,1
